OBJECTID,NOMBRE_DEL,TITULAR,MUNICIPIO,PROVINCIA,UTM_X__Hus,UTM_Y__Hus,MEDIO_RECE,NATURALEZA,CARACT__DE,VOLUMEN__m,NATURALE_1
429,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,SAN AGUSTIN DEL GUADALIX,MADRID,445929.00000000000,4502889.00000000000,ARROYO INNOMINADO,URBANO O ASIMILABLE,<2.000 h-e,291.00000000000,CATEGORÍA I
430,RESTAURANTE EL CASERON DE ARACELI,"EL CASERON DE ARACELI, S.L.",SAN AGUSTIN DEL GUADALIX,MADRID,445900.00000000000,4503450.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,10950.00000000000,CATEGORÍA I
431,CENTRO NACIONAL DE CAPACITACION,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",SAN FERNANDO DE HENARES,MADRID,458069.00000000000,4473261.00000000000,RÍO HENARES,URBANO O ASIMILABLE,<2.000 h-e,15300.00000000000,CATEGORÍA I
432,EDAR CASAQUEMADA,CANAL DE ISABEL II,SAN FERNANDO DE HENARES,MADRID,456491.00000000000,4473692.00000000000,RÍO JARAMA,URBANO O ASIMILABLE,>10.000 h-e,31645500.00000000000,CATEGORÍA I
433,EDAR TORREJÓN DE ARDOZ,CANAL DE ISABEL II,SAN FERNANDO DE HENARES,MADRID,457476.00000000000,4474453.00000000000,RÍO JARAMA,URBANO O ASIMILABLE,>10.000 h-e,27375000.00000000000,CATEGORÍA I
434,FÁBRICA CERÁMICA CUATRO PALOMAS (ASEOS),"CERÁMICA CUATRO PALOMAS, S.A.",SAN FERNANDO DE HENARES,MADRID,462772.00000000000,4475687.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,311.25000000000,CATEGORÍA I
435,PLANTA HORMIGÓN LAFARGE (ASEOS),"LAFARGE ÁRIDOS Y HORMIGONES, S.A.U.",SAN FERNANDO DE HENARES,MADRID,461234.00000000000,4476502.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,292.00000000000,CATEGORÍA I
436,PLANTA RU NUEVA RENDIJA (ASEOS),MANCOMUNIDAD DEL ESTE,SAN FERNANDO DE HENARES,MADRID,462343.00000000000,4474620.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1095.00000000000,CATEGORÍA I
437,"E.S. CTRA. M-600, KM 3,000","REPSOL COMERCIAL DE PRODUCTOS PETROLÍFEROS, S.A.",SAN LORENZO DE EL ESCORIAL,MADRID,406410.00000000000,4498650.00000000000,TERRENO,INDUSTRIAL,CLASE 1 Resto,2847.00000000000,CATEGORÍA I
438,REFUGIO DE MONTAÑA LOS LLANILLOS,AYUNTAMIENTO DE SAN LORENZO DE EL ESCORIAL,SAN LORENZO DE EL ESCORIAL,MADRID,400422.00000000000,4494155.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,30.00000000000,CATEGORÍA I
439,FABRICA PLACAS YESO LAMINADO,"SAINT GOBAIN PLACO IBERICA, S.A.",SAN MARTIN DE LA VEGA,MADRID,448380.00000000000,4450762.00000000000,ARROYO DE LAS ESPARTINAS,URBANO O ASIMILABLE,<2.000 h-e,3650.00000000000,CATEGORÍA III
440,FABRICA YESOS SAN MARTÍN (ASEOS),"YESOS SAN MARTÍN, S.A.",SAN MARTIN DE LA VEGA,MADRID,448887.00000000000,4452395.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1314.00000000000,CATEGORÍA I
441,"GRAVERA ""ROMÁN"" HOLCIM ÁRIDOS (ASEOS)","HOLCIM ÁRIDOS, S.L.",SAN MARTIN DE LA VEGA,MADRID,454829.00000000000,4457823.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,2190.00000000000,CATEGORÍA I
442,GRAVERA HOLCIM ARIDOS (ASEOS),"HOLCIM ÁRIDOS, S.L.",SAN MARTIN DE LA VEGA,MADRID,454300.00000000000,4460052.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,132.00000000000,CATEGORÍA I
443,GRAVERA MORTEROS Y ÁRIDOS ESPECIALES (ASEOS),"MORTEROS Y ARIDOS ESPECIALES, S.A.",SAN MARTIN DE LA VEGA,MADRID,454660.00000000000,4456584.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,367.00000000000,CATEGORÍA I
444,QUESERIA Y VIVIENDAS S.A.T. 017 VEGA SAN MARTIN,S.A.T. 017 VEGA DE SAN MARTIN,SAN MARTIN DE LA VEGA,MADRID,453640.00000000000,4454429.00000000000,RÍO JARAMA,INDUSTRIAL,CLASE 1 Resto,6077.00000000000,CATEGORÍA I
445,BODEGA ELABORACIÓN DE VINOS BERNABELEVA,"BERNABELEVA, S.L.",SAN MARTIN DE VALDEIGLESIAS,MADRID,378481.00000000000,4469376.00000000000,ARROYO AGUILAS,INDUSTRIAL,CLASE 2 Resto,120.00000000000,CATEGORÍA I
446,CENTRAL HIDROELÉCTRICA SAN JUAN (ASEOS),"GAS NATURAL SDG, S.A.",SAN MARTIN DE VALDEIGLESIAS,MADRID,388744.00000000000,4469912.00000000000,RÍO ALBERCHE,URBANO O ASIMILABLE,<2.000 h-e,550.00000000000,CATEGORÍA I
447,CENTRO OCUPACIONAL A.M.A.M.,ASOCIACION MADRILEÑA AYUDA MINUSVALIDO,SAN MARTIN DE VALDEIGLESIAS,MADRID,394448.00000000000,4464979.00000000000,RÍO ALBERCHE,URBANO O ASIMILABLE,<2.000 h-e,16425.00000000000,CATEGORÍA I
448,CENTRO TRATAMIENTO RCDS SAN MARTÍN VALDEIGLESIAS (ASEOS),"GESTIÓN Y DESARROLLO DEL MEDIO AMBIENTE DE MADRID, S.A.",SAN MARTIN DE VALDEIGLESIAS,MADRID,383102.00000000000,4469683.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,85.00000000000,CATEGORÍA I
449,EDAR PICADAS,CANAL DE ISABEL II,SAN MARTIN DE VALDEIGLESIAS,MADRID,389225.00000000000,4469243.00000000000,ARROYO LA PRESA,URBANO O ASIMILABLE,>10.000 h-e,1779375.00000000000,CATEGORÍA I
450,EDAR SAN MARTIN DE VALDEIGLESIAS NORESTE,CANAL DE ISABEL II,SAN MARTIN DE VALDEIGLESIAS,MADRID,384864.00000000000,4471877.00000000000,RÍO ALBERCHE,URBANO O ASIMILABLE,2.000-10.000 h-e,374125.00000000000,CATEGORÍA I
451,EDAR SAN MARTIN DE VALDEIGLESIAS NORTE,CANAL DE ISABEL II,SAN MARTIN DE VALDEIGLESIAS,MADRID,382522.00000000000,4472895.00000000000,RÍO ALBERCHE,URBANO O ASIMILABLE,<2.000 h-e,149650.00000000000,CATEGORÍA I
452,GRANJA EQUINA QUINCHO (VIVIENDA Y CUADRAS),"QUINCHO, S.L.",SAN MARTIN DE VALDEIGLESIAS,MADRID,379968.00000000000,4467740.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,401.00000000000,CATEGORÍA I
453,PERSONA FÍSICA (ASEOS NAVE AGROPECUARIA),PERSONA FÍSICA,SAN MARTIN DE VALDEIGLESIAS,MADRID,382290.00000000000,4471143.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,438.00000000000,CATEGORÍA I
454,PERSONA FÍSICA (GRANJA ESCUELA),PERSONA FÍSICA,SAN MARTIN DE VALDEIGLESIAS,MADRID,382864.00000000000,4468140.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,6900.00000000000,CATEGORÍA I
532,CAMPING SAN JUAN,"CAMPING AGUILAR GÓMEZ, S.L.",VALDEMORILLO,MADRID,410657.00000000000,4484380.00000000000,ARROYO SAN JUAN,URBANO O ASIMILABLE,<2.000 h-e,21900.00000000000,CATEGORÍA I
533,"E.S. CTRA. M-600, KM 14,800","DISA PENÍNSULA, S.L.U.",VALDEMORILLO,MADRID,405938.00000000000,4488485.00000000000,ARROYO FUENTE VIEJA,INDUSTRIAL,CLASE 1 Resto,1135.00000000000,CATEGORÍA I
534,EDAR VALDEMORILLO,CANAL DE ISABEL II,VALDEMORILLO,MADRID,409177.00000000000,4482337.00000000000,ARROYO LA NAVA,URBANO O ASIMILABLE,>10.000 h-e,972725.00000000000,CATEGORÍA I
535,URB. AMPLIACIÓN CERRO ALARCÓN,E.U.C.C. AMPLIACION CERRO ALARCON,VALDEMORILLO,MADRID,408391.00000000000,4479593.00000000000,ARROYO LA NAVA,URBANO O ASIMILABLE,2.000-10.000 h-e,253310.00000000000,CATEGORÍA I
536,URB. EL MIRADOR DEL ROMERO,COM. PROP. URB. EL MIRADOR DEL ROMERO,VALDEMORILLO,MADRID,412585.00000000000,4481325.00000000000,ARROYO DEL VENERO,URBANO O ASIMILABLE,<2.000 h-e,79132.00000000000,CATEGORÍA I
537,URB. JARABELTRAN (EDAR CERRO DEL AGUILA),COM. PROP. URB. JARABELTRAN,VALDEMORILLO,MADRID,412929.00000000000,4482730.00000000000,ARROYO SAN JUAN,URBANO O ASIMILABLE,2.000-10.000 h-e,109500.00000000000,CATEGORÍA I
538,URB. JARABELTRAN (EDAR HIPOLITO MENA),COM. PROP. URB. JARABELTRAN,VALDEMORILLO,MADRID,413524.00000000000,4482506.00000000000,ARROYO SAN JUAN,URBANO O ASIMILABLE,<2.000 h-e,73000.00000000000,CATEGORÍA I
539,URB. LA ESPERANZA,E.U. GESTIÓN LA ESPERANZA,VALDEMORILLO,MADRID,406519.00000000000,4486976.00000000000,ARROYO FUENTE VIEJA,URBANO O ASIMILABLE,<2.000 h-e,16425.00000000000,CATEGORÍA I
540,URB. LA PIZARRERA,ENTIDAD URBANÍSTICA LA PIZARRERA,VALDEMORILLO,MADRID,408877.00000000000,4489498.00000000000,RÍO AULENCIA,URBANO O ASIMILABLE,<2.000 h-e,16425.00000000000,CATEGORÍA I
541,URB. LAS MOJADILLAS,COM. PROP. URB. LAS MOJADILLAS,VALDEMORILLO,MADRID,406388.00000000000,4487232.00000000000,ARROYO FUENTE VIEJA,URBANO O ASIMILABLE,<2.000 h-e,21900.00000000000,CATEGORÍA I
542,URB. PARQUE DE LAS INFANTAS,COM. PROP. PARQUE DE LAS INFANTAS,VALDEMORILLO,MADRID,408010.00000000000,4488516.00000000000,ARROYO DE VALMAYOR,URBANO O ASIMILABLE,<2.000 h-e,32850.00000000000,CATEGORÍA III
543,URB. PINO ALTO - SECTOR SUR,E.U.C. PINO ALTO SECTOR SUR,VALDEMORILLO,MADRID,411991.00000000000,4484993.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,29200.00000000000,CATEGORÍA I
544,URB. PUENTELASIERRA,ASOC. PROP. URB. PUENTELASIERRA,VALDEMORILLO,MADRID,412039.00000000000,4482691.00000000000,ARROYO SAN JUAN,URBANO O ASIMILABLE,<2.000 h-e,116800.00000000000,CATEGORÍA I
545,PARQUE DE MAQUINARIA VALDEMORO (DRAGADOS),"DRAGADOS, S.A.",VALDEMORO,MADRID,442316.00000000000,4446278.00000000000,TERRENO,INDUSTRIAL,CLASE 1 Resto,4600.00000000000,CATEGORÍA I
546,EDAR VALDEPIELAGOS,CANAL DE ISABEL II,VALDEPIELAGOS,MADRID,459980.00000000000,4512095.00000000000,ARROYO SECO,URBANO O ASIMILABLE,<2.000 h-e,83231.00000000000,CATEGORÍA I
547,EDAR VALDETORRES DE JARAMA,CANAL DE ISABEL II,VALDETORRES DE JARAMA,MADRID,453235.00000000000,4503080.00000000000,RÍO JARAMA,URBANO O ASIMILABLE,>10.000 h-e,984405.00000000000,CATEGORÍA I
548,FABRICA TEJAS COBERT (ASEOS),"TEJAS COBERT, S.A.",VALDETORRES DE JARAMA,MADRID,456718.00000000000,4506992.00000000000,ARROYO GALGA,URBANO O ASIMILABLE,<2.000 h-e,3650.00000000000,CATEGORÍA I
549,RESIDENCIA DE ANIMALES VALDETORRES,ASOC. NACIONAL AMIGOS DE LOS ANIMALES,VALDETORRES DE JARAMA,MADRID,459750.00000000000,4502841.00000000000,ARROYO SALOBRE,URBANO O ASIMILABLE,<2.000 h-e,6862.00000000000,CATEGORÍA I
550,CANTERA BARRANCO DE LA CUEVA (ASEOS),"HOLCIM ÁRIDOS, S.L.",VALDILECHA,MADRID,475491.00000000000,4462392.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,132.00000000000,CATEGORÍA I
551,EDAR VALDILECHA,CANAL DE ISABEL II,VALDILECHA,MADRID,474930.00000000000,4458776.00000000000,ARROYO DE LA VEGA,URBANO O ASIMILABLE,2.000-10.000 h-e,486545.00000000000,CATEGORÍA I
